        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
83  0.0000  0.0290  0.0406  0.0269  0.0200  0.0420  0.0339  0.0037  0.0057  0.0577     0.0309         f9
84  0.0000  0.1071  0.0750  0.0828  0.0697  0.0255  0.0965  0.1128  0.0864  0.1006     0.1222  protected
85  0.0000  0.1032  0.0137  0.0786  0.0988  0.0778  0.0906  0.0605  0.0379  0.0574     0.0689         f1
86  0.4963  0.4099  0.3866  0.4047  0.4336  0.4140  0.4518  0.4186  0.4373  0.4402     0.3318         f0
87  0.0000  0.0668  0.0000  0.0579  0.0605  0.0469  0.0618  0.0606  0.0543  0.0869     0.0696         f9
88  0.0000  0.1634  0.1285  0.0559  0.1074  0.1204  0.0702  0.1228  0.1296  0.0757     0.1061         f1
89  0.0000  0.0105  0.1072  0.0408  0.0684  0.0528  0.0400  0.0736  0.0422  0.0598     0.0539         f2
90  0.5054  0.4414  0.4225  0.4264  0.4618  0.4075  0.4648  0.4289  0.4831  0.3861     0.4231         f0
91  0.0000  0.0184  0.0029  0.0091  0.0026  0.0184  0.0076  0.0216  0.0032  0.0201     0.0258  protected
92  0.0000  0.1097  0.0499  0.0626  0.1143  0.1172  0.0874  0.0792  0.0521  0.1200     0.0409         f9
93  0.0000  0.1235  0.1177  0.1172  0.1032  0.1057  0.1037  0.0987  0.1345  0.1106     0.2267  protected
94  0.0000  0.0434  0.0495  0.0438  0.0740  0.1024  0.0564  0.0679  0.0514  0.0904     0.0288         f5
95  0.0000  0.0515  0.0411  0.0319  0.0574  0.0529  0.0806  0.0519  0.1306  0.0560     0.0585         f8
96  0.0000  0.1004  0.1441  0.0987  0.0437  0.1231  0.1127  0.0463  0.1210  0.0790     0.1114         f2
97  0.0000  0.1161  0.0417  0.1148  0.0982  0.1176  0.1244  0.1024  0.1470  0.0724     0.0961         f8
98  0.0000  0.0125  0.0544  0.0213  0.0580  0.0586  0.0667  0.0431  0.0267  0.0101     0.0306         f6
99  0.0000  0.1595  0.1081  0.1155  0.1482  0.1592  0.1588  0.2280  0.1820  0.1312     0.1626         f7

[100 rows x 12 columns]


Num. FP: 9
