f0,f1,f2,f3,f4,protected
-0.2509,0.161,-0.2199,0.1885,0.0,-0.2213
0.0,-0.0808,0.192,-0.0964,0.1445,-0.0639
-0.1249,-0.0899,0.2107,0.3243,0.1992,-0.1401
0.3355,-0.3142,0.422,0.5086,-0.3249,0.3739
0.256,0.2585,0.278,0.182,-0.1546,0.2446
-0.2153,0.3435,-0.215,0.4463,-0.2421,0.2932
0.0605,0.0314,-0.0778,0.0,-0.1517,-0.0918
0.4027,-0.2747,0.4686,0.3285,-0.255,0.3744
0.325,-0.2516,0.4814,0.3788,0.3206,-0.2893
0.2053,-0.1866,0.2762,-0.1476,0.3046,0.3356
0.1889,0.249,-0.1401,-0.0918,0.1861,-0.0287
-0.3176,-0.3458,-0.4997,0.2511,0.2861,0.2951
-0.4861,0.2774,0.2652,-0.3473,-0.3909,-0.3263
-0.2456,0.1284,-0.195,0.0372,-0.2609,-0.2451
-0.0311,0.1272,-0.067,-0.0913,0.2236,0.1971
-0.4675,0.2356,-0.3895,-0.3911,-0.3903,-0.3696
0.1217,0.2189,-0.3741,-0.3396,-0.2481,0.238
0.0,-0.0456,-0.0606,0.0,-0.0454,-0.0456
0.0951,-0.201,0.1251,-0.2098,-0.3325,0.129
0.1844,-0.3372,-0.245,0.1177,-0.2474,-0.2493
0.3191,0.3227,0.4447,-0.2143,-0.2343,-0.2349
-0.3602,0.2498,-0.3871,0.282,-0.4371,0.213
0.0947,-0.1735,-0.1408,-0.1746,0.0332,0.0158
0.2631,-0.4407,-0.3105,-0.3611,-0.3406,-0.3275
