protected,f0,f1,f2,f3,f4,accuracy,c
0.2454,0.0,0.2446,0.2415,0.2441,0.2527,0.6069,5
0.2567,0.0,0.2577,0.2592,0.2543,0.2505,0.5984,5
0.2223,-0.0453,-0.2455,0.215,-0.2522,0.2355,0.6057,5
0.2476,0.0,0.2442,0.2455,0.2476,0.2428,0.5946,5
-0.1688,-0.0487,-0.1685,-0.1502,0.0452,-0.1565,0.5992,5
0.2571,0.2115,0.2545,0.2499,0.2507,0.2498,0.5985,5
-0.2501,-0.3756,-0.2449,0.1853,0.1881,0.1884,0.5889,5
-0.2494,-0.0305,0.2154,-0.2534,0.2157,-0.2303,0.5949,5
-0.2314,-0.0623,0.1824,-0.2341,0.1855,0.1633,0.6058,5
-0.1992,-0.2515,-0.2396,0.1838,-0.2529,0.182,0.6059,5
0.1864,-0.066,0.1887,-0.2486,-0.1814,0.1263,0.5992,5
0.1831,0.0,-0.2431,0.1933,0.2013,0.2007,0.6072,5
-0.2473,-0.0697,0.2302,0.2336,-0.2547,-0.2497,0.5964,5
0.246,0.0616,0.2427,0.2471,0.2528,0.2506,0.6019,5
0.2396,0.0,0.2422,0.2398,0.2379,0.2424,0.593,5
0.2479,0.0,0.2525,0.2527,0.2488,0.2474,0.5933,5
-0.2426,0.0,0.2158,0.2192,0.2322,0.2193,0.6003,5
0.2522,0.0,0.2507,0.2534,0.2496,0.2486,0.5997,5
0.2499,0.126,0.2464,0.244,0.2506,0.2499,0.5976,5
-0.2411,-0.321,0.1879,-0.2437,-0.1979,-0.2023,0.5962,5
-0.2397,-0.2037,0.2161,-0.2592,-0.2419,-0.2465,0.6047,5
0.2478,0.0,0.2533,0.2506,0.2479,0.2582,0.604,5
0.0322,0.0,0.1253,0.1349,-0.1523,0.125,0.5948,5
0.2427,0.0,0.2481,0.2395,0.2405,0.2409,0.5954,5
0.2511,0.0316,0.2506,0.2572,0.2473,0.2457,0.601,5
0.2217,-0.2519,-0.2526,-0.2538,0.2223,0.2322,0.6009,5
-0.2465,-0.0167,0.2341,0.2321,-0.2508,0.2381,0.5989,5
0.1859,-0.1305,-0.1872,0.1881,-0.2467,0.1246,0.6022,5
0.2545,0.0,0.249,0.2592,0.2545,0.2527,0.5958,5
0.2493,0.0,0.2536,0.2488,0.2539,0.2484,0.5931,5
0.2479,0.0,0.2569,0.2549,0.2472,0.2563,0.59,5
0.2552,0.0,0.2496,0.2576,0.2502,0.2552,0.6029,5
-0.2514,-0.3242,-0.249,-0.2191,-0.2515,0.2251,0.597,5
0.1396,-0.0466,-0.2301,0.1704,-0.1997,0.1686,0.6047,5
0.2171,-0.0625,0.2165,-0.2496,-0.2497,0.1866,0.6047,5
0.2162,-0.0294,0.2135,0.2183,-0.2494,0.2315,0.5952,5
0.2191,-0.0166,-0.2586,0.2385,0.2202,-0.2445,0.612,5
0.2414,0.0,0.2464,0.2475,0.2484,0.251,0.6013,5
-0.2471,-0.1402,0.1526,-0.2032,0.1734,-0.2177,0.5995,5
0.2487,0.0304,0.2456,0.2531,0.2561,0.246,0.5965,5
-0.2208,-0.3614,0.1552,0.1693,-0.1853,-0.2479,0.5978,5
-0.2573,0.0,0.2373,0.2415,0.2378,0.2403,0.5946,5
0.1231,-0.2159,-0.1677,-0.1705,-0.1877,0.0605,0.5977,5
-0.1917,-0.0187,0.1105,-0.1885,-0.1902,0.1268,0.5958,5
-0.2205,-0.2654,-0.2402,-0.2575,-0.221,0.1755,0.613,5
0.235,0.0,0.2377,0.241,-0.252,-0.2465,0.6038,5
-0.2437,-0.1465,-0.2448,-0.2454,-0.2462,0.2269,0.5908,5
0.2536,0.0152,0.2585,0.2573,0.2548,0.2531,0.603,5
0.1866,-0.097,-0.2187,0.1677,0.1739,-0.2507,0.5995,5
0.2481,0.1203,0.2524,0.2564,0.252,0.2557,0.6068,5
0.2444,0.0,0.2432,0.2413,0.2385,0.243,0.6022,5
0.2466,0.094,0.2493,0.2521,0.2478,0.249,0.5964,5
0.209,-0.0283,0.2145,-0.2494,-0.2421,0.2303,0.5989,5
-0.2526,-0.1595,-0.2577,-0.2581,0.235,-0.2541,0.6019,5
-0.2517,-0.2492,0.2199,0.1823,-0.2194,-0.2503,0.5927,5
0.2249,-0.0303,0.2363,-0.2536,-0.2476,0.2179,0.6024,5
-0.2535,-0.1395,0.1644,0.1579,0.1264,0.1798,0.6011,5
0.0945,-0.0779,0.0497,0.0472,-0.1597,0.0927,0.5913,5
-0.2558,-0.1261,-0.2047,0.1573,0.1773,-0.2212,0.5986,5
0.219,-0.0599,-0.2522,0.1851,0.1894,0.2181,0.6062,5
0.2541,0.0,0.2521,0.2501,0.2513,0.2492,0.593,5
0.2494,0.1092,0.245,0.2551,0.2533,0.2454,0.6076,5
0.2526,0.1302,0.2511,0.2497,0.2492,0.247,0.6043,5
-0.2528,-0.1597,0.2096,-0.2255,0.1529,0.1904,0.5966,5
0.1439,-0.1125,0.1304,-0.1807,-0.2232,-0.223,0.5983,5
-0.2615,-0.247,-0.2482,0.2205,-0.233,-0.2465,0.6002,5
