p,lower,upper,pval,corr,protected_corr,protected_conf
1.0,-0.0378,0.0176,0.475,1.0,0.00502051938833,0.615672907795
0.95,0.0019,0.0573,0.0365,0.899398614738,0.00330943552507,0.740717689189
1.0,-0.0357,0.0198,0.574,1.0,0.00799060483365,0.424305865662
0.95,-0.0409,0.0145,0.351,0.899398893551,-0.00362296405279,0.717163496679
1.0,-0.0215,0.0340,0.659,1.0,0.00902575918285,0.366801160225
0.95,-0.0243,0.0311,0.808,0.898588864138,0.00556006476528,0.578251005249
1.0,-0.0282,0.0273,0.974,1.0,0.00375664495046,0.707200267956
0.95,-0.0201,0.0353,0.592,0.897198893689,-0.000592093322231,0.952791267782
1.0,-0.0320,0.0234,0.76,1.0,0.00281615294205,0.778265080245
0.95,-0.0346,0.0208,0.624,0.89680188029,-0.00780585175563,0.435096929768
0.95,-0.0176,0.0378,0.474,0.900172178025,-0.00300041342544,0.764173715183
0.95,-0.0083,0.0471,0.17,0.895801524541,-0.00696305916507,0.48628648569
0.95,-0.0482,0.0072,0.146,0.900200570826,-0.00499033137068,0.61779779869
0.95,-0.0137,0.0417,0.321,0.896986454559,-0.000917202640531,0.926929391449
0.95,-0.0405,0.0149,0.366,0.893979753843,-0.000141597727596,0.988703925558
0.9,-0.0257,0.0298,0.884,0.799201767074,0.00461947175517,0.644158847997
0.95,-0.0430,0.0125,0.281,0.901201986262,-0.00864236730079,0.387508334409
0.9,-0.0348,0.0286,0.826,0.787602157852,0.00537123504809,0.59122600793
0.95,-0.0402,0.0153,0.378,0.898806360316,-0.00913265519306,0.361152931126
0.9,-0.0233,0.0321,0.755,0.803598441374,-0.00243071249484,0.80797346345
0.95,-0.0280,0.0274,0.983,0.897639744768,0.00686249265174,0.492604931008
0.85,-0.0264,0.0290,0.925,0.69976503544,-0.0095593833627,0.339152735212
0.95,-0.0290,0.0264,0.926,0.894599006043,-0.00944244626179,0.345094210297
0.9,-0.0107,0.0447,0.229,0.810576575405,0.00307722072302,0.75832254206
0.8,-0.0038,0.0516,0.0908,0.600708772386,0.00976607376836,0.328812498799
0.95,-0.0109,0.0524,0.283,0.90539910994,-0.00460843880306,0.644950196731
0.85,-0.0473,0.0082,0.166,0.701792669085,-0.00839118231532,0.401453538122
0.9,-0.0201,0.0353,0.592,0.791381887772,0.00745043773886,0.456295311211
0.95,-0.0396,0.0158,0.399,0.898653161976,-0.00101041149849,0.919527800652
0.8,-0.0372,0.0183,0.504,0.584019713604,-0.00658520818763,0.510251818124
0.85,-0.0329,0.0225,0.712,0.70325788753,-0.00625625828592,0.531607687877
0.9,-0.0279,0.0275,0.989,0.80479615826,0.00218004469094,0.827446661044
0.95,-0.0367,0.0267,0.725,0.906595724624,-0.00764643479469,0.444534149972
0.8,-0.0322,0.0233,0.754,0.605054983432,-0.00614116466242,0.539185269443
0.85,-0.0339,0.0216,0.664,0.691146252979,-0.00741219896765,0.458610123468
0.9,-0.0329,0.0225,0.712,0.802013169588,-0.00439751957784,0.660155046256
0.8,-0.0536,0.0018,0.0667,0.60419016773,-0.00634780382297,0.525619250731
0.95,-0.0106,0.0449,0.225,0.903997200558,-0.00125949456418,0.899784357388
0.85,-0.0255,0.0299,0.877,0.691236049358,0.00636153223584,0.524724192259
0.9,-0.0285,0.0349,0.821,0.798433931105,-0.00655149802452,0.512419510023
0.95,-0.0414,0.0140,0.333,0.905186004601,-0.000694576107388,0.944632277293
0.8,-0.0425,0.0129,0.295,0.605384353759,0.000222325713789,0.982264652564
0.85,-0.0353,0.0202,0.593,0.698202051807,0.00377788468933,0.705621825237
0.9,-0.0493,0.0061,0.127,0.793189565871,-0.00849513845563,0.395645972908
0.95,-0.0317,0.0237,0.778,0.897798445664,-0.00508743294642,0.610974447593
0.8,-0.0295,0.0259,0.898,0.607253675308,-0.00953571174528,0.340350142344
0.9,-0.0224,0.0330,0.709,0.789595796555,0.00838584243334,0.401753228547
0.95,-0.0347,0.0207,0.622,0.89161309628,0.00464508856448,0.64232301424
