        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
20  0.5117  0.4795  0.4933  0.4801  0.4955  0.4985  0.4831  0.4881  0.4930  0.4741     0.4928         f0
21  0.0000  0.0157  0.0010  0.0099  0.0095  0.0000  0.0065  0.0152  0.0066  0.0060     0.0000         f1
22  0.0000  0.0167  0.0336  0.0431  0.0150  0.0248  0.0250  0.0051  0.0000  0.0288     0.0248         f3
23  0.0000  0.0041  0.0055  0.0091  0.0000  0.0000  0.0103  0.0013  0.0000  0.0057     0.0062         f6
24  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
25  0.0000  0.0251  0.0349  0.0643  0.0170  0.0019  0.0430  0.0339  0.0268  0.0187     0.0184         f3
26  0.0000  0.0085  0.0061  0.0001  0.0080  0.0001  0.0051  0.0028  0.0000  0.0000     0.0068         f1
27  0.0000  0.0017  0.0018  0.0105  0.0054  0.0095  0.0019  0.0014  0.0000  0.0033     0.0007         f3
28  0.0000  0.0041  0.0105  0.0327  0.0335  0.0404  0.0209  0.0161  0.0024  0.0255     0.0392         f5
29  0.0000  0.0126  0.0093  0.0021  0.0109  0.0039  0.0000  0.0000  0.0128  0.0117     0.0111         f8
..     ...     ...     ...     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0000  0.0263  0.0011  0.0227  0.0253  0.0252  0.0230  0.0136  0.0049     0.0222         f2
71  0.0000  0.0677  0.0738  0.0070  0.0462  0.0194  0.0858  0.0680  0.0652  0.0680     0.0763         f6
72  0.0000  0.0043  0.0194  0.0192  0.0295  0.0150  0.0007  0.0442  0.0314  0.0108     0.0195         f7
73  0.0000  0.0280  0.0576  0.0241  0.0032  0.0000  0.0293  0.0247  0.0244  0.0250     0.0279         f2
74  0.0000  0.0074  0.0283  0.0173  0.0113  0.0060  0.0031  0.0104  0.0046  0.0282     0.0087         f2
75  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
76  0.0000  0.0092  0.0039  0.0095  0.0014  0.0000  0.0096  0.0098  0.0096  0.0063     0.0000         f7
77  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
78  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0029  0.0093  0.0059  0.0230  0.0110  0.0230  0.0062  0.0193  0.0032     0.0087         f4
80  0.0000  0.0047  0.0102  0.0056  0.0099  0.0078  0.0000  0.0127  0.0000  0.0000     0.0028         f7
81  0.0000  0.0061  0.0498  0.0305  0.0269  0.0131  0.0067  0.0209  0.0410  0.0223     0.0066         f2
82  0.0000  0.0103  0.0004  0.0319  0.0386  0.0109  0.0503  0.0285  0.0306  0.0285     0.0182         f6
83  0.0000  0.0000  0.0098  0.0235  0.0120  0.0158  0.0000  0.0167  0.0000  0.0130     0.0154         f3
84  0.0000  0.0016  0.0157  0.0163  0.0351  0.0401  0.0153  0.0373  0.0243  0.0176     0.0031         f5
85  0.0000  0.0182  0.0005  0.0447  0.0276  0.0327  0.0117  0.0000  0.0260  0.0309     0.0270         f3
86  0.0000  0.0012  0.0000  0.0008  0.0012  0.0000  0.0012  0.0000  0.0000  0.0000     0.0000         f1
87  0.0000  0.0218  0.0183  0.0030  0.0057  0.0231  0.0114  0.0084  0.0097  0.0170     0.0000         f5
88  0.0000  0.0067  0.0329  0.0105  0.0370  0.0477  0.0357  0.0184  0.0192  0.0335     0.0000         f5
89  0.0000  0.0096  0.0000  0.0199  0.0252  0.0053  0.0118  0.0097  0.0077  0.0078     0.0000         f4
90  0.0000  0.0022  0.0032  0.0149  0.0150  0.0057  0.0137  0.0021  0.0159  0.0021     0.0230  protected
91  0.0000  0.0211  0.0256  0.0075  0.0076  0.0039  0.0191  0.0208  0.0122  0.0021     0.0012         f2
92  0.0000  0.0136  0.0427  0.0490  0.0230  0.0252  0.0686  0.0187  0.0681  0.0244     0.0448         f6
93  0.0000  0.0035  0.0014  0.0000  0.0000  0.0000  0.0000  0.0009  0.0035  0.0035     0.0015         f1
94  0.0000  0.0655  0.0517  0.1041  0.0366  0.0712  0.0394  0.0540  0.0613  0.0668     0.1126  protected
95  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
96  0.0000  0.0014  0.0016  0.0014  0.0000  0.0159  0.0084  0.0050  0.0110  0.0032     0.0093         f5
97  0.0000  0.0414  0.0078  0.0528  0.0517  0.0134  0.0545  0.0463  0.0244  0.0112     0.0586  protected
98  0.0000  0.0010  0.0067  0.0018  0.0028  0.0000  0.0032  0.0079  0.0001  0.0057     0.0003         f7
99  0.0000  0.0344  0.0405  0.0622  0.0548  0.0325  0.0561  0.0137  0.0415  0.0395     0.0000         f3

[100 rows x 12 columns]


Num. FP: 5
