        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
17  0.0000  0.0509  0.0854  0.0430  0.0293  0.0685    ...      0.0748  0.0230  0.0411  0.0289     0.0412         f2
18  0.0000  0.1121  0.0974  0.0943  0.0732  0.0608    ...      0.1214  0.0982  0.0742  0.0542     0.0557        f11
19  0.0000  0.0356  0.0397  0.0587  0.0437  0.0259    ...      0.0390  0.0271  0.0437  0.0013     0.0581         f3
20  0.0000  0.1608  0.1956  0.1831  0.1915  0.1565    ...      0.1769  0.2157  0.1758  0.1391     0.1968        f10
21  0.0000  0.0651  0.0844  0.0724  0.1063  0.0827    ...      0.0867  0.0850  0.0780  0.0766     0.1115  protected
22  0.5024  0.3855  0.3606  0.4070  0.3925  0.3955    ...      0.3563  0.4028  0.3528  0.4113     0.3576         f0
23  0.0000  0.0617  0.0280  0.0783  0.0684  0.0219    ...      0.0541  0.0782  0.0530  0.0857     0.0939  protected
24  0.0000  0.1089  0.0809  0.1208  0.1390  0.1001    ...      0.0687  0.1128  0.1149  0.0929     0.1646        f10
25  0.5011  0.4107  0.4186  0.4706  0.4100  0.3940    ...      0.4297  0.4248  0.4402  0.4124     0.4277         f0
26  0.0000  0.1070  0.0909  0.1195  0.0817  0.1351    ...      0.0819  0.1173  0.1480  0.0647     0.1200         f6
27  0.5041  0.4566  0.4478  0.4638  0.4793  0.4653    ...      0.4415  0.4544  0.4633  0.4598     0.4827         f0
28  0.4940  0.4112  0.4329  0.3894  0.3803  0.4117    ...      0.4236  0.4326  0.3540  0.4181     0.4254         f0
29  0.0000  0.1191  0.1082  0.1435  0.1680  0.1275    ...      0.1133  0.0842  0.1208  0.1701     0.1505        f14
..     ...     ...     ...     ...     ...     ...    ...         ...     ...     ...     ...        ...        ...
70  0.0000  0.0440  0.0048  0.0163  0.0256  0.0085    ...      0.0178  0.0379  0.0259  0.0285     0.0283         f1
71  0.5004  0.4633  0.4619  0.4777  0.4786  0.4826    ...      0.4673  0.4886  0.4727  0.4928     0.4805         f0
72  0.0000  0.0594  0.0897  0.0772  0.1006  0.1072    ...      0.0840  0.1032  0.0965  0.0981     0.0048         f5
73  0.0000  0.0901  0.1224  0.1004  0.0764  0.0297    ...      0.1067  0.0884  0.0886  0.1273     0.0876        f14
74  0.0000  0.0918  0.0624  0.1113  0.1500  0.0405    ...      0.0827  0.0757  0.1051  0.0970     0.1128         f4
75  0.0000  0.1091  0.1136  0.1806  0.1281  0.1724    ...      0.1598  0.1427  0.1461  0.1436     0.0850         f3
76  0.0000  0.0570  0.0343  0.0824  0.0610  0.0397    ...      0.0986  0.0872  0.0575  0.0941     0.0785        f11
77  0.0000  0.0194  0.0239  0.0431  0.0410  0.0363    ...      0.0258  0.0251  0.0327  0.0386     0.0271         f7
78  0.4976  0.4316  0.3743  0.4314  0.4170  0.3995    ...      0.3550  0.3662  0.4178  0.3989     0.4011         f0
79  0.5026  0.4063  0.4157  0.4262  0.3803  0.3945    ...      0.4439  0.4052  0.4136  0.3511     0.4442         f0
80  0.5035  0.4694  0.4764  0.4640  0.4550  0.4502    ...      0.4534  0.4754  0.4614  0.4688     0.4657         f0
81  0.5080  0.4362  0.4566  0.4617  0.4165  0.3701    ...      0.4032  0.4104  0.4252  0.3927     0.3696         f0
82  0.0000  0.1107  0.0878  0.0863  0.0799  0.0557    ...      0.0625  0.1301  0.0987  0.0950     0.0573         f9
83  0.0000  0.0624  0.0437  0.0141  0.0603  0.0548    ...      0.0358  0.0655  0.0982  0.0412     0.0641        f13
84  0.0000  0.1069  0.1044  0.0711  0.0932  0.0569    ...      0.0511  0.0759  0.0426  0.0569     0.0618         f1
85  0.5070  0.3736  0.3688  0.3358  0.3657  0.3200    ...      0.3593  0.3429  0.3608  0.3703     0.3472         f0
86  0.0000  0.0932  0.1409  0.1378  0.1133  0.1234    ...      0.0887  0.1452  0.1060  0.1054     0.1228         f8
87  0.0000  0.0958  0.1050  0.1339  0.0956  0.0648    ...      0.0865  0.0782  0.0605  0.1113     0.1046         f9
88  0.4983  0.4041  0.3593  0.3756  0.4487  0.3782    ...      0.3509  0.3825  0.3465  0.4017     0.3756         f0
89  0.0000  0.0707  0.0650  0.0402  0.0472  0.0633    ...      0.0737  0.0684  0.0780  0.0592     0.0499         f6
90  0.4941  0.4189  0.4233  0.4213  0.4202  0.3960    ...      0.4325  0.4661  0.4298  0.4589     0.4323         f0
91  0.5091  0.4242  0.3947  0.4172  0.4479  0.4602    ...      0.4409  0.4343  0.4491  0.3889     0.4316         f0
92  0.5079  0.4303  0.4032  0.4348  0.4170  0.4053    ...      0.4294  0.4150  0.4590  0.4101     0.4274         f0
93  0.0000  0.0412  0.1078  0.0623  0.0911  0.0629    ...      0.0909  0.0859  0.0586  0.0454     0.0534         f2
94  0.0000  0.1713  0.1326  0.1487  0.0857  0.1994    ...      0.1646  0.1170  0.1313  0.1543     0.1817         f5
95  0.0000  0.1338  0.1137  0.0832  0.1156  0.0630    ...      0.1057  0.1259  0.0973  0.1076     0.1506         f8
96  0.0000  0.1356  0.1217  0.1496  0.0909  0.1438    ...      0.1532  0.1416  0.1046  0.0704     0.0860        f11
97  0.0000  0.0445  0.0759  0.0430  0.0601  0.0398    ...      0.0489  0.0801  0.0495  0.0532     0.0666        f10
98  0.5009  0.4988  0.4982  0.4848  0.4811  0.4826    ...      0.4789  0.4947  0.4693  0.4835     0.4723         f0
99  0.0000  0.1541  0.1092  0.0974  0.1127  0.0676    ...      0.1346  0.0531  0.0787  0.0929     0.0963         f1

[100 rows x 17 columns]


Num. FP: 5
