        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
28  0.5031  0.4274  0.3989  0.4260  0.4392  0.3853  0.3982  0.4652  0.4686  0.4209     0.3979         f0
29  0.0000  0.0371  0.0793  0.0655  0.0822  0.0507  0.0369  0.0143  0.0222  0.0810     0.0577         f4
..     ...     ...     ...     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.4969  0.4358  0.4582  0.4616  0.4658  0.4811  0.4511  0.4673  0.4221  0.4135     0.4749         f0
71  0.0000  0.0447  0.0394  0.0123  0.0166  0.0229  0.0108  0.0250  0.0046  0.0290     0.0042         f1
72  0.0000  0.0245  0.0318  0.0268  0.0000  0.0381  0.0528  0.0297  0.0291  0.0452     0.0159         f6
73  0.0000  0.0455  0.0839  0.0301  0.0423  0.0827  0.0722  0.0891  0.0433  0.0138     0.0531         f7
74  0.0000  0.0036  0.0036  0.0000  0.0000  0.0022  0.0021  0.0036  0.0022  0.0000     0.0000         f1
75  0.0000  0.0254  0.0367  0.0000  0.0242  0.0477  0.0265  0.0412  0.0207  0.0017     0.0381         f5
76  0.5095  0.4721  0.4826  0.4493  0.4911  0.4244  0.4176  0.4475  0.4288  0.4584     0.4387         f0
77  0.0000  0.0194  0.0583  0.0052  0.0309  0.0186  0.0482  0.0430  0.0099  0.0242     0.0425         f2
78  0.5052  0.4853  0.4685  0.4876  0.4733  0.4240  0.4836  0.4702  0.4672  0.4577     0.4515         f0
79  0.0000  0.0258  0.0727  0.0455  0.0946  0.0525  0.0494  0.0677  0.0361  0.0749     0.1058  protected
80  0.0000  0.0022  0.0000  0.0030  0.0000  0.0000  0.0000  0.0027  0.0000  0.0044     0.0044         f9
81  0.0000  0.0159  0.0047  0.0028  0.0120  0.0024  0.0124  0.0154  0.0026  0.0000     0.0158         f1
82  0.0000  0.0320  0.0522  0.0546  0.0364  0.0136  0.0134  0.0500  0.0510  0.0153     0.0133         f3
83  0.4861  0.4432  0.4690  0.4826  0.4303  0.4552  0.4653  0.4437  0.4890  0.4542     0.4860         f8
84  0.0000  0.0000  0.0080  0.0078  0.0117  0.0000  0.0074  0.0005  0.0184  0.0027     0.0068         f8
85  0.0000  0.0611  0.0842  0.0848  0.0989  0.1081  0.1148  0.0558  0.0902  0.1688     0.1321         f9
86  0.0000  0.0527  0.0493  0.0523  0.0354  0.0032  0.0361  0.0363  0.0596  0.0159     0.0133         f8
87  0.0000  0.0114  0.0079  0.0173  0.0334  0.0263  0.0098  0.0231  0.0080  0.0018     0.0356  protected
88  0.0000  0.0015  0.0000  0.0028  0.0028  0.0000  0.0000  0.0011  0.0000  0.0000     0.0028         f3
89  0.0000  0.0027  0.0254  0.0135  0.0285  0.0042  0.0231  0.0140  0.0321  0.0341     0.0085         f9
90  0.0000  0.0630  0.0322  0.0297  0.0315  0.0312  0.0309  0.0317  0.0330  0.0000     0.0000         f1
91  0.0000  0.0032  0.0040  0.0009  0.0003  0.0000  0.0000  0.0000  0.0007  0.0014     0.0040         f2
92  0.0000  0.0143  0.0079  0.0081  0.0056  0.0000  0.0057  0.0143  0.0067  0.0000     0.0132         f1
93  0.0000  0.0040  0.0000  0.0010  0.0008  0.0003  0.0000  0.0038  0.0035  0.0043     0.0004         f9
94  0.0000  0.0553  0.0840  0.0582  0.0332  0.0395  0.0386  0.0166  0.0342  0.0288     0.0174         f2
95  0.5060  0.4589  0.4199  0.4430  0.4371  0.4161  0.4440  0.4711  0.4015  0.3658     0.4515         f0
96  0.0000  0.0224  0.0413  0.0347  0.0140  0.0425  0.0259  0.0006  0.0506  0.0417     0.0237         f8
97  0.4993  0.3056  0.3757  0.4259  0.4030  0.3486  0.3768  0.3568  0.3556  0.3822     0.3572         f0
98  0.4957  0.4309  0.3511  0.4306  0.4556  0.4174  0.3712  0.4105  0.3939  0.3927     0.3858         f0
99  0.4967  0.3380  0.3645  0.3836  0.3231  0.3983  0.3999  0.4097  0.4069  0.4386     0.3849         f0

[100 rows x 12 columns]


Num. FP: 6
