        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
28  0.5033  0.4369  0.3338  0.3538  0.3449  0.3850  0.3918  0.3565  0.3453  0.3678     0.3648         f0
29  0.0000  0.0684  0.0229  0.0302  0.0125  0.0655  0.0263  0.0206  0.0466  0.0255     0.0588         f1
..     ...     ...     ...     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0186  0.0806  0.0232  0.0653  0.0485  0.0298  0.0443  0.0374  0.0270     0.0200         f2
71  0.4993  0.4061  0.4436  0.3925  0.4029  0.3750  0.3451  0.4058  0.4410  0.4501     0.4484         f0
72  0.0000  0.0044  0.0066  0.0329  0.0427  0.0189  0.0456  0.0352  0.0158  0.0272     0.0132         f6
73  0.0000  0.0892  0.1250  0.1271  0.1036  0.0858  0.1026  0.0870  0.1039  0.1068     0.2040  protected
74  0.4944  0.3549  0.3791  0.3993  0.4012  0.4083  0.4066  0.4888  0.4244  0.4034     0.4190         f0
75  0.0000  0.0592  0.0802  0.0752  0.1347  0.0677  0.1452  0.0823  0.1194  0.1409     0.1157         f6
76  0.5062  0.3776  0.4385  0.3892  0.3867  0.4845  0.3924  0.3878  0.4343  0.3850     0.3926         f0
77  0.0000  0.1060  0.0610  0.0553  0.1026  0.0702  0.0713  0.0713  0.0905  0.1278     0.1048         f9
78  0.0000  0.0557  0.0444  0.0011  0.0746  0.0194  0.0631  0.0792  0.0575  0.0782     0.0755         f7
79  0.0000  0.0200  0.0187  0.0018  0.0124  0.0440  0.0084  0.0295  0.0183  0.0433     0.0439         f5
80  0.0000  0.0903  0.0283  0.1132  0.0984  0.1080  0.1202  0.0639  0.0492  0.0887     0.1167         f6
81  0.0000  0.0352  0.0922  0.0814  0.0831  0.1298  0.0799  0.0860  0.1271  0.0833     0.1395  protected
82  0.0000  0.0999  0.0938  0.0873  0.1238  0.0448  0.0499  0.0895  0.0629  0.1229     0.1364  protected
83  0.0000  0.1839  0.1416  0.2018  0.1338  0.1250  0.1233  0.1339  0.0828  0.1267     0.1250         f3
84  0.5018  0.2922  0.2581  0.3132  0.3207  0.3217  0.3109  0.3319  0.3320  0.3504     0.3571         f0
85  0.0000  0.0332  0.0551  0.0219  0.0084  0.0476  0.0148  0.0457  0.0515  0.0455     0.0202         f2
86  0.4986  0.4076  0.4320  0.4280  0.4367  0.4338  0.4503  0.5022  0.4274  0.4156     0.3857         f7
87  0.0000  0.0618  0.0830  0.0921  0.0902  0.0696  0.0663  0.0211  0.0844  0.0734     0.0723         f3
88  0.4989  0.3035  0.3162  0.3169  0.4119  0.3540  0.3808  0.3299  0.3601  0.3357     0.3290         f0
89  0.0000  0.0153  0.0274  0.0139  0.0114  0.0250  0.0173  0.0056  0.0344  0.0413     0.0019         f9
90  0.5018  0.4757  0.4780  0.4583  0.4683  0.4488  0.4584  0.4291  0.4890  0.4745     0.4330         f0
91  0.0000  0.1187  0.0725  0.0714  0.0556  0.0849  0.0621  0.0284  0.0808  0.0307     0.0376         f1
92  0.4968  0.4325  0.4441  0.4625  0.4886  0.4198  0.4503  0.4571  0.4681  0.4919     0.4516         f0
93  0.0000  0.1589  0.1152  0.0588  0.0921  0.0936  0.1457  0.1606  0.1448  0.1376     0.1376         f7
94  0.0000  0.0557  0.0332  0.0027  0.0197  0.0429  0.0305  0.0675  0.0167  0.0461     0.0419         f7
95  0.0000  0.0498  0.1157  0.0947  0.0445  0.0996  0.1085  0.1443  0.0660  0.0619     0.0722         f7
96  0.5047  0.3749  0.4048  0.4153  0.4911  0.3779  0.3787  0.4303  0.4007  0.4041     0.4108         f0
97  0.0000  0.0000  0.0216  0.0260  0.0054  0.0104  0.0204  0.0259  0.0131  0.0301     0.0017         f9
98  0.4996  0.4029  0.4296  0.4179  0.4542  0.4283  0.4040  0.3944  0.4337  0.4992     0.4346         f0
99  0.5041  0.3487  0.3754  0.3749  0.3444  0.3487  0.3442  0.3698  0.3441  0.3632     0.4596         f0

[100 rows x 12 columns]


Num. FP: 3
