        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
72  0.0000  0.1238  0.0901  0.1246  0.1541  0.1865    ...      0.1023  0.1002  0.1333  0.1116     0.1225         f5
73  0.0000  0.0180  0.0137  0.0344  0.0344  0.0452    ...      0.0254  0.0238  0.0613  0.0593     0.0422        f13
74  0.0000  0.0999  0.0918  0.1064  0.0904  0.0846    ...      0.1208  0.0663  0.1735  0.0910     0.1204        f13
75  0.0000  0.0100  0.0184  0.0318  0.0342  0.0093    ...      0.0428  0.0267  0.0314  0.0184     0.0133         f7
76  0.5066  0.3647  0.3846  0.4025  0.4103  0.3971    ...      0.4454  0.3932  0.4718  0.3945     0.4113         f0
77  0.4981  0.4038  0.4082  0.4294  0.4566  0.4377    ...      0.4461  0.4430  0.3844  0.4500     0.4321         f0
78  0.0000  0.0611  0.0301  0.0460  0.0504  0.0507    ...      0.0512  0.0626  0.0904  0.0256     0.0770        f13
79  0.5008  0.3997  0.4292  0.4390  0.4110  0.3935    ...      0.4006  0.4045  0.3890  0.4095     0.5005         f0
80  0.0000  0.1170  0.1659  0.1370  0.0814  0.1405    ...      0.1351  0.0887  0.1295  0.1369     0.1443         f9
81  0.0000  0.1079  0.0783  0.0736  0.0970  0.0847    ...      0.0557  0.0425  0.0547  0.0500     0.0924         f1
82  0.0000  0.0719  0.0754  0.0707  0.0744  0.0676    ...      0.1487  0.0573  0.0491  0.0518     0.0552        f11
83  0.0000  0.0385  0.0419  0.0581  0.0474  0.0279    ...      0.0783  0.0443  0.0768  0.0481     0.0178         f7
84  0.0000  0.1140  0.0716  0.0846  0.1047  0.0693    ...      0.1242  0.1045  0.1041  0.0891     0.0909         f7
85  0.0000  0.1320  0.1735  0.1605  0.1244  0.1542    ...      0.1571  0.1454  0.1615  0.1342     0.2067  protected
86  0.0000  0.0893  0.0589  0.0598  0.0725  0.0724    ...      0.0035  0.0711  0.0419  0.0602     0.0908  protected
87  0.5013  0.4381  0.3918  0.4269  0.4592  0.4439    ...      0.3852  0.4211  0.4374  0.3934     0.3750         f0
88  0.0000  0.1091  0.0692  0.1019  0.1034  0.1150    ...      0.1017  0.1806  0.1033  0.0910     0.0954        f12
89  0.0000  0.1251  0.1282  0.1564  0.1311  0.0844    ...      0.1052  0.1980  0.1419  0.1255     0.1368        f12
90  0.0000  0.1017  0.0695  0.0806  0.1027  0.0901    ...      0.0822  0.1446  0.1009  0.0285     0.0920        f12
91  0.0000  0.0197  0.0147  0.0183  0.0334  0.0154    ...      0.0083  0.0248  0.0068  0.0014     0.0359  protected
92  0.0000  0.1047  0.0747  0.0884  0.1198  0.0525    ...      0.0809  0.0474  0.1084  0.0660     0.0654         f4
93  0.0000  0.1194  0.1481  0.0954  0.0762  0.0699    ...      0.1096  0.0679  0.0680  0.1014     0.0991         f2
94  0.0000  0.1053  0.1272  0.0761  0.0906  0.0729    ...      0.0625  0.1088  0.1008  0.0858     0.1227         f2
95  0.4986  0.4473  0.4776  0.4682  0.4574  0.4810    ...      0.4739  0.4988  0.4888  0.4837     0.4668        f12
96  0.0000  0.0907  0.1124  0.0843  0.0894  0.1129    ...      0.1386  0.1469  0.0920  0.0876     0.1057        f12
97  0.0000  0.0694  0.0718  0.1402  0.1235  0.0982    ...      0.1538  0.1429  0.0949  0.1369     0.1398        f11
98  0.0000  0.1233  0.1399  0.0946  0.1214  0.0683    ...      0.0831  0.1301  0.0646  0.0969     0.1284         f2
99  0.5024  0.4030  0.4456  0.4615  0.4248  0.4394    ...      0.4559  0.4358  0.4419  0.4751     0.4269         f0

[100 rows x 17 columns]


Num. FP: 7
